Accession	length	HVR_length	ncbi_taxid	ncbi_phylum	Domain	Phylum	Class	Order	Family	Genus	Species	genome_size
SDC73456.1	408	168	639004	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Ruegeria_B	s__Ruegeria_B marina	4995422
KRW90854.1	278	38	368812	Firmicutes	d__Bacteria	p__Firmicutes	c__Alicyclobacillia	o__Alicyclobacillales	f__Alicyclobacillaceae	g__Alicyclobacillus	s__Alicyclobacillus tengchongensis	2809442
AAG14365.1	411	171	861208	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Agrobacterium	s__Agrobacterium sp000192635	5573770
APO75356.1	332	92	538025	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Rhizobium	s__Rhizobium etli_B	7309118
EOS69917.1	487	247	1235799	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__MD308	s__MD308 sp010206225	4352995
WP_071005213.1	291	51	1848291	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Neorhizobium	s__Neorhizobium sp001854865	5521535
WP_019141155.1	275	35	1465823	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Noviherbaspirillum	s__Noviherbaspirillum massiliense	4188269
WP_061290724.1	567	327	354	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Azotobacter	s__Azotobacter vinelandii	5484531
RFS05998.1	505	265	143221	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Salmonella	s__Salmonella enterica	4788239
CDQ36260.1	351	111	1482	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_D	f__Amphibacillaceae	g__Virgibacillus	s__Virgibacillus halodenitrificans	3985684
SBS62444.1	392	152	693153	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Vibrionaceae	g__Vibrio	s__Vibrio splendidus_D	5521369
KUJ71047.1	276	36	1685380	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Thiomicrospirales	f__Thiomicrospiraceae	g__Hydrogenovibrio	s__Hydrogenovibrio sp001507535	2279450
GAX88900.1	282	42	1348429	Firmicutes	d__Bacteria	p__Firmicutes	c__Alicyclobacillia	o__Tumebacillales	f__Effusibacillaceae	g__Effusibacillus	s__Effusibacillus lacus	3908050
PSL48581.1	268	28	517424	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_H	f__Marinococcaceae	g__Salsuginibacillus	s__Salsuginibacillus halophilus	3019496
PJZ49628.1	283	43	2023183	Spirochaetes	d__Bacteria	p__Spirochaetota	c__Leptospirae	o__Leptospirales	f__Leptospiraceae	g__Leptospira_B	s__Leptospira_B saintgironsiae	4083319
RDU73511.1	520	280	375926	Proteobacteria	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Helicobacteraceae	g__Helicobacter_H	s__Helicobacter_H anseris_A	1462307
OUR75592.1	386	146	1856292	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sneathiellales	f__Sneathiellaceae	g__Sneathiella	s__Sneathiella sp002163135	4002346
AMN52750.1	497	257	1674922	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Stappiaceae	g__Roseibium	s__Roseibium aggregatum_A	6051301
KRG78917.1	408	168	336566	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Stenotrophomonas	s__Stenotrophomonas ginsengisoli	3374112
CRF02317.1	325	85	630	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Yersinia	s__Yersinia enterocolitica	4466691
WP_086952517.1	403	163	2738	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Vagococcaceae	g__Vagococcus	s__Vagococcus fluvialis	2653706
EZQ16451.1	317	77	653930	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_D	s__Pseudomonas_D bauzanensis	3541633
AVX04062.1	369	129	454601	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Devosiaceae	g__Maritalea	s__Maritalea myrionectae	3703346
AKO93703.1	372	132	1402861	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae_H	g__Bacillus_I	s__Bacillus_I filamentosus	5313985
STY26135.1	475	235	70611	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Legionellaceae	g__Legionella_C	s__Legionella_C taurinensis	3052492
PIF41437.1	420	180	31899	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Thermoanaerobacteria	o__Caldicellulosiruptorales	f__Caldicellulosiruptoraceae	g__Caldicellulosiruptor	s__Caldicellulosiruptor bescii	2908661
OOF34873.1	374	134	272773	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Vibrionaceae	g__Salinivibrio	s__Salinivibrio costicola	3381657
CVI18622.1	321	81	1183423	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Agrobacterium	s__Agrobacterium tumefaciens	5657766
PEH51969.1	541	301	28152	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Yersinia	s__Yersinia kristensenii_B	4159331
RHC12840.1	275	35	166486	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Roseburia	s__Roseburia intestinalis	4374175
WP_076504135.1	281	41	1907403	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Pseudacidovorax	s__Pseudacidovorax sp900156165	5685444
OGR05716.1	272	32	1797902	Proteobacteria	d__Bacteria	p__Desulfobacterota	c__Desulfobulbia	o__Desulfobulbales	f__Desulfurivibrionaceae	g__XYD12-FULL-50-9	s__XYD12-FULL-50-9 sp001799225	3769239
OLZ20224.1	386	146	28034	Firmicutes	d__Bacteria	p__Firmicutes_E	c__Sulfobacillia	o__Sulfobacillales	f__Sulfobacillaceae	g__Sulfobacillus	s__Sulfobacillus thermosulfidooxidans	3652462
OBT05328.1	265	25	1853256	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Shewanellaceae	g__Shewanella	s__Shewanella japonica	4960183
SQJ17740.1	353	113	61652	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Serratia_B	s__Serratia_B rubidaea_A	4995355
RBP23645.1	499	259	470868	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Achromobacter	s__Achromobacter marplatensis	6892201
CNI00500.1	433	193	630	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Yersinia	s__Yersinia enterocolitica	4466691
WP_091556704.1	412	172	1225127	Actinobacteria	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__Geodermatophilaceae	g__Klenkia	s__Klenkia taihuensis	4312932
SFE21488.1	409	169	32040	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Acidovorax_A	s__Acidovorax_A konjaci	5077528
OZT13038.1	409	169	412384	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae_H	g__Priestia	s__Priestia megaterium	3959600
WP_112942768.1	296	56	2587062	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Rhizobium	s__Rhizobium sp900467745	6417954
AIY82086.1	270	30	1415774	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium botulinum_B	3914604
SEF92529.1	569	329	44577	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Nitrosomonadaceae	g__Nitrosomonas	s__Nitrosomonas ureae	3746813
OAG28580.1	550	310	1795632	Thermodesulfobacteria	d__Bacteria	p__Desulfobacterota	c__Thermodesulfobacteria	o__Thermodesulfobacteriales	f__Thermodesulfatatoraceae	g__Thermodesulfatator	s__Thermodesulfatator autotrophicus	2270963
PMH75466.1	376	136	47951	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Vibrionaceae	g__Vibrio	s__Vibrio cyclitrophicus	4945198
KOS49803.1	384	144	1390	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__Bacillus velezensis	3903367
AUM11641.1	532	292	1917421	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Ketobacteraceae	g__Ketobacter	s__Ketobacter alkanivorans	4914503
ACR71277.1	284	44	515620	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnospira	s__Lachnospira eligens	2831389
WP_065860332.1	421	181	1763883	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Vibrionaceae	g__Vibrio	s__Vibrio cidicii	4665036
WP_076576284.1	280	40	1907416	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Aeromonadaceae	g__Aeromonas	s__Aeromonas sp900156095	4221297
EJM78347.1	281	41	1144335	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__Pseudomonas_E sp000282415	6502113
AAR10696.1	421	181	28901	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Salmonella	s__Salmonella enterica	4733991
EWH09463.1	274	34	1328313	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Alteromonadaceae	g__Catenovulum	s__Catenovulum agarivorans_A	4572425
EAU40778.1	424	184	314231	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Fulvimarina	s__Fulvimarina pelagi	3806238
CEQ00827.1	268	28	1505	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Peptostreptococcales	f__Peptostreptococcaceae	g__Paraclostridium	s__Paraclostridium sordellii	3444643
OEZ71982.1	503	263	1537275	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Janthinobacterium	s__Janthinobacterium sp001758725	6584659
WP_028246386.1	464	224	46206	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Pseudobutyrivibrio	s__Pseudobutyrivibrio ruminis	2764267
GBD42267.1	434	194	2035434	NA	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Geminicoccales	f__Geminicoccaceae	g__HRBIN39	s__HRBIN39 sp002898955	1992583
PSN07277.1	484	244	357233	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Siccibacter	s__Siccibacter turicensis	4109714
AKL77985.1	276	36	492670	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__Bacillus velezensis	3951956
RDJ29429.1	430	190	2763117	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__Bosea	s__Bosea caraganae	6173500
AUI85578.1	384	144	512649	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Vibrionaceae	g__Vibrio	s__Vibrio azureus	4833901
OEF70838.1	377	137	1191323	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Vibrionaceae	g__Vibrio	s__Vibrio tasmaniensis_A	5193878
ARR00292.1	528	288	1660073	Proteobacteria	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Campylobacteraceae	g__Campylobacter	s__Campylobacter sp002139855	1640613
KKM41122.1	272	32	1491	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_H	s__Clostridium_H botulinum_B	3005167
KTH36206.1	497	257	299766	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter	s__Enterobacter hormaechei_A	4749599
KQC47678.1	329	89	1737624	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Anoxybacillaceae	g__Geobacillus	s__Geobacillus stearothermophilus	2991498
WP_078201130.1	575	335	106590	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Cupriavidus	s__Cupriavidus necator	7267813
OIN52085.1	476	236	168469	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__Pseudomonas_E costantinii	6474602
OAI21048.1	284	44	980561	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Methylococcales	f__Methylomonadaceae	g__Methylomonas	s__Methylomonas lenta	4703858
WP_101919611.1	405	165	2067452	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Gemmobacter_B	s__Gemmobacter_B sp002855575	4663447
KKJ95697.1	496	256	316	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_A	s__Pseudomonas_A xanthomarina_A	3617942
WP_078032775.1	289	49	1955422	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Massilia	s__Massilia sp002007115	5734887
WP_012140492.1	499	259	199	Proteobacteria	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Campylobacteraceae	g__Campylobacter_A	s__Campylobacter_A concisus	1840041
PRS82894.1	299	59	2108546	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__Bacillus pumilus	3591979
AJZ90001.1	282	42	1134687	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Klebsiella_A	s__Klebsiella_A grimontii	5537724
WP_058486682.1	482	242	1473580	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Defluviitaleaceae	g__Defluviitalea	s__Defluviitalea phaphyphila	2539811
KOA33769.1	443	203	562	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli_D	5232730
STO96913.1	514	274	29419	Proteobacteria	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Helicobacteraceae	g__Helicobacter_B	s__Helicobacter_B canis	1930063
SDP93350.1	407	167	1855285	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Rhodoferax_B	s__Rhodoferax_B sp900104385	5736266
PIC98532.1	379	139	2048252	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_A	f__Planococcaceae	g__Sporosarcina	s__Sporosarcina sp002743335	3382122
WP_013189022.1	407	167	2051	Actinobacteria	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Mobiluncus	s__Mobiluncus curtisii	2133388
ACX79777.1	327	87	544556	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Anoxybacillaceae	g__Geobacillus	s__Geobacillus thermoleovorans	3667901
WP_012148096.1	307	67	28197	Proteobacteria	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Arcobacteraceae	g__Aliarcobacter	s__Aliarcobacter butzleri	2258223
WP_111347458.1	304	64	2184697	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Amorphaceae	g__Acuticoccus	s__Acuticoccus sediminis	7763538
OJS02542.1	555	315	562	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli_D	5232730
KPM83381.1	261	21	570156	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Alteromonadaceae	g__Pseudoalteromonas	s__Pseudoalteromonas lipolytica	4387864
WP_042394826.1	483	243	566	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Pseudescherichia	s__Pseudescherichia vulneris	4398823
KIL76319.1	270	30	1455	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__Domibacillaceae	g__Pseudobacillus	s__Pseudobacillus badius	4059762
SIW05697.1	768	528	1379858	Deferribacteres	d__Bacteria	p__Deferribacterota	c__Deferribacteres	o__Deferribacterales	f__Mucispirillaceae	g__Mucispirillum	s__Mucispirillum schaedleri	2336984
OCJ38975.1	418	178	1841657	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Serratia_A	s__Serratia_A fonticola	6343511
WP_058306690.1	550	310	1564956	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_D	f__Amphibacillaceae	g__Gracilibacillus	s__Gracilibacillus massiliensis	4207226
WP_111930322.1	285	45	1559	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium tertium	3801844
KKF70262.1	507	267	670	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Vibrionaceae	g__Vibrio	s__Vibrio parahaemolyticus	6099228
KPN18246.1	293	53	1732020	Actinobacteria	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Micrococcaceae	g__Arthrobacter_B	s__Arthrobacter_B sp001307035	3639179
AWM09340.1	274	34	1404367	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Bradyrhizobium	s__Bradyrhizobium symbiodeficiens	7132395
WP_027409290.1	271	31	265948	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Anoxybacillaceae	g__Anoxybacillus_A	s__Anoxybacillus_A tepidamans	3386024
WP_069937212.1	270	30	1714016	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__Domibacillaceae	g__Domibacillus	s__Domibacillus iocasae	3464277
SDJ44284.1	278	38	1798221	Actinobacteria	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Leifsonia	s__Leifsonia sp900100265	4141447
BAA15751.1	498	258	316407	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia flexneri	4646332
WP_030441058.1	440	200	543632	Actinobacteria	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__Micromonosporaceae	g__Actinoplanes	s__Actinoplanes subtropicus	11257336
KQW51872.1	289	49	1736529	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Pelomonas	s__Pelomonas sp001425165	5809961
KMO03299.1	282	42	536	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Chromobacteriaceae	g__Chromobacterium	s__Chromobacterium violaceum	4388579
AEF81469.1	309	69	545695	Spirochaetes	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Treponematales	f__Treponemataceae_B	g__Treponema_H	s__Treponema_H azotonutricium	3855671
OSF16597.1	495	255	600	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Salmonella	s__Salmonella enterica	4683462
WP_087444318.1	271	31	49283	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Paenibacillus_B	s__Paenibacillus_B thiaminolyticus	6537383
EQB18096.1	294	54	1096930	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Novosphingobium	s__Novosphingobium lindaniclasticum	4857928
KRB24657.1	281	41	1736479	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Rhizobacter	s__Rhizobacter sp001425825	6608788
KQY29870.1	225	-15	1736547	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Caulobacter	s__Caulobacter sp001426905	5093099
WP_066775116.1	274	34	1703339	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Croceicoccus	s__Croceicoccus mobilis	4116752
AVD89243.1	284	44	2083053	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__Pseudomonas_E taiwanensis	5919083
AWI36303.1	273	33	1178541	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__Bacillus safensis	3766664
SCZ28199.1	283	43	1566202	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__Pseudomonas_E fluorescens_Q	6771107
EEH00650.1	336	96	498741	Spirochaetes	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Borreliales	f__Borreliaceae	g__Borreliella	s__Borreliella finlandensis	1281782
ASK69920.1	272	32	2018305	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Shewanellaceae	g__Shewanella	s__Shewanella bicestrii	5004414
WP_052442018.1	659	419	388741	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__DSM-18226	g__Mesobacillus	s__Mesobacillus selenatarsenatis_A	4667526
KGK17621.1	377	137	29495	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Vibrionaceae	g__Vibrio	s__Vibrio navarrensis	4899555
WP_038227831.1	378	138	1517681	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Vibrionaceae	g__Vibrio	s__Vibrio mediterranei	6586300
ASD65009.1	282	42	959	Proteobacteria	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Bdellovibrio	s__Bdellovibrio bacteriovorus_D	3926271
OCJ26730.1	325	85	1841656	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Rhizobium	s__Rhizobium rhizogenes	7172456
